sentence,smell confidence,overt or impiled,smell words,,
"Cases of tubercular disease of the spine, which causes the condition ordinarily known as "" humpback,"" practically hopeless cases of hip disease, diseases of the knee and ankle, elbow, shoulders, &c., were completely healed up and cured in periods varying from six months to a year and sometimes longer.",0,,,,
Proper provision shall be made for the storage of flour elsewhere than in the underground bakehouse itself.,0,,,,
The whole then amounts to this—that for the prevention of tuberculosis one must enlist the intelligent co-operation of not only the patients but the general population.,0,,,,
"This has previously been found an almost insuperable difficulty, as only a few cases obtain suitable work in the open air which will c2 prevent them relapsing.",0,,,,
The reports received from Dr. Rollier show that all the patients are making good progress.,0,,,,
"16.—In the event of any death from Cholera taking place on board such ship while detained under Article 10, the Master shall, as directed by the Sanitary Authority or the Medical Officer of Health, either cause the dead body to be taken out to sea, and committed to the deep, properly loaded to prevent its rising, or shall deliver it into the charge of the said Authority for interment; and the Authority shall thereupon have the same interred.",weak,implied,dead body,,
"87,645 Cayzer, Irvine & Co., Leadenhall Buildings.",0,,,Not a sentence,
"The number of cases of enteric fever notified in Chelsea in 1920 was 5, as against 2 in 1919.",0,,,,
"Ordered, That the Report be printed and a copy sent to every Member of this Court.",0,,,,
"On 11th November a solitary case of enteric fever occurred on "" Cornwall "" Reformatory Ship off Purfleet.",0,,,,
"Herewith I beg to submit a few notes on the administration of the Canal Boats Acts, 1877 and 1884, within the limits of the Port of London, for the year 1890.",0,,,,
"Liguria 69,367 Tilbury Dock Sydney 12 cases pineapples.",weak,implied,pineapples,Not a sentence,
"For the sake of comparison I have put the figures for 1922 underneath, as this is the last year in which the duties were done separately by the District Sanitary Inspectors and the Food Inspectors, and it is evident that on the whole there is a considerable reduction in the figures for 1923, which is mainly due to the alteration of duties.",0,,,,
"15 I would again take the opportunity of pointing out the absolute necessity of an additional ward to be used for the treatment of small-pox cases only, when they arise.",0,,,,
"The Metropolitan Asylums Board Hospitals have no power to receive cases of Measles, and the London County Council is not empowered to provide Hospitals.",0,,,,
(On page 33 will be found a full report on the subject.) I do not think any Sanitary Authority ever took up a more important matter.,0,,,,
The Workshops and the residences of the Outworkers are periodically inspected and any matter requiring attention dealt with.,0,,,,
"No less than 1,700 cases were reported in London at the close of the year 1901, of these the Borough of Deptford contributed but 4 (1 in October, 2 in November, and 1 in December). *This large increase is due to the fact that Chicken-Pox was made a notifiable disease from February 7th.",0,,,,
"I further suggest that, with a view to increasing the supply of Grade ' A ' (Tuberculin Tested) milk, and of proportionatel reducing its cost, a Conference be summoned by the Bermondsey Borough Council of representatives of all the Maternity and Child Welfare Committees of the Metropolis and of Greater London, asking them to take similar action with the object of applying collective pressure to the wholesalers and producers."" We agree with the views expressed by Alderman Salter and recommend— (a) That notice be sent to all milk retailers supplying milk to the Council, and to all wholesale dealers who supply such retailers, that after the 30th June, 1925, all milk supplied to the Council for the purposes of the Maternity and Child Welfare Act must consist of Grade "" A "" (Tuberculin Tested) milk. [Adopted (b) That with a view to increasing the supply of Grade "" A "" (Tuberculin Tested) milk and of proportionately reducing its cost, the Local Authorities of the Metropolis (Metropolitan Borough Councils, County Boroughs, Municipal Boroughs and Urban District Councils) be invited to attend a conference to be held here on Friday, 14th November, 1924, at 7 p.m., each authority to be represented by two members and its Medical Officer of Health. [Amended Resolved —That recommendations (a) (b) of the Committee be adopted subject to recommendation (b) being amended by deleting "" on Friday, 14th November, 1924, at 7 p.m."" and inserting "" on a date to be arranged by the Committee,"" The following were the conditions adopted by the Council for granting licences for Grade ""A "" (Tuberculin Tested) Milk, and the following report submitted to the Committee will fully explain these:— Licences —Grade "" A "" (Tuberculin Tested) Milk or Grade "" A "" Milk.",0,,,Not a sentence,
"14.—Any person certified by the Medical Officer of Health to be suffering from any illness which such Officer suspects may prove to be Cholera, may either be detained on board the ship for any period not exceeding two days, or be taken to some hospital or other suitable place appointed for that purpose by the Sanitary Authority, and detained there, for a like period, in order that it may be ascertained whether the illness is or is not Cholera.",0,,,,
"The number of preliminary notices or ""Intimations"" served during the year was 1,369, whilst the number of Statutory Notices served was but 192, and in only 7 cases was it necessary to take legal proceedings to enforce these orders.",0,,,,
"As in previous years, a great deal of this work was carried out by the Chelsea Branch of the Invalid Children's Aid Association.",0,,,,
REPORT OF THE MEDICAL OFFICER OF HEALTH For the year 1902.,0,,,,
"This precipitation, at enormous cost, is intended as a temporary and palliative measure which having been commenced must be finished.",0,,,,
"Two cases died at home, and both were removed to the Mortuary; one case was an infant who was born whilst the mother was suffering from Small-Pox, and died within 15 days, the other an adult; in the latter case the body was buried within 48 hours after death.",weak,implied,"body, buried",,
"BIRTHS. The number of Births registered during the year 1902, was 3,315 (1,646 males and 1,669 females), equivalent to an annual rate of 29.7 per 1,000 of the population.",0,,,,
"The Corporation has already decided to assist them in their difficulty, but it is not reasonable to expect this, unless payment be made to defray the cost of erections, &c. The Committee of the ""Worcester"" has agreed to such an arrangement, which is only waiting for the final decision of the School Board to be carried into effect.",0,,,,
"Gregory, Louis James, 199, Queen's Road (rear of).",0,,,Not a sentence,
The female made a complete recovery.,0,,,,
"Various agencies have contributed to this improvement, and not least among them are the activities grouped under Maternity and Child Welfare.",0,,,,
Six of the fatal cases were only in the Home for a short period—three weeks or under.,0,,,,
"Secondly, that the amount thus recovered in the course of the year is exceedingly small.",0,,,,
"The large wound in her arm is very nearly healed, and the smaller one is completely healed.",0,,,,
"The s.s. ""Capella,"" which left Calcutta on 2nd March, had a patient attacked with small-pox on 7th April.",0,,,,
"Scientific and systematic experiments in this direction were begun in Switzerland by Dr. O. Bernhard in St. Moritz in 1902, followed up by Dr. Rollier, of Leysin, in 1904, and may be said now to have passed the experimental stage.",0,,,,
"The only alteration, besides the amount of penalty, is the omission of cholera from the list.",0,,,,
"The work done by Mr. Grantley Smith, the Municipal Dental Surgeon, will be found on page 53, and two tables showing the excelent work done by him will be found in his report.",0,,,,
"Of these 2.2 per cent. were found adulterated, compared with 3.3 per cent. in the previous year, and 2.9 per cent. in 1922.",0,,,,
"Midwife.—The number of necessitous women provided with a midwife under the Council's scheme during 1920 was 25,10 being attended by the Ormond Home for Midwives, 14 by Midwife Andrews, and one by Midwife McAuliffe.",0,,,Not a sentence,
The following table explains the average number of children attending the various Municipal Centres per session :— Centre.,0,,,,
Great Central Hall has now increased the number of sessions held to 12 a month.,0,,,,
"This makes a total of 1,000 patients per annum who would greatly profit by such Heliotherapy and open air as we could apply in Bermondsey.",weak,implied,open air,,
"Two obtained 1st class certificates, and three obtained 2nd class certificates.",0,,,,
"TOWN HALL, KING'S ROAD, CHELSEA, S.W.3.",0,,,Not a sentence,
SHEWING THE NUMBER OF BIRTHS AND DEATHS IN THE BOROUGH DURING THE YEAR 1902.,0,,,,
They were therefore seized and an order obtained from a magistrate for their complete destruction.,0,,,,
"Each cubicle is 4 feet 10½ inches wide and 7 feet 4½ inches long (internal dimensions), and is provided with a window so that ample means of through ventilation are secured.",0,,,,
"Below are given the costs of the investigations, sending patients to Leysin, and the provision of suitable lamps in the Dispensarthe Dispensary:- £. s. d. Investigations 35 0 0 Sending patients to Leysin— 1st amount 360 0 0 2nd amount 100 0 0 £495 0 0 It is difficult to say what the further cost, if any, will be before the end of the financial year, as it depends upon our being able to acquire a vacant piece of land which is situated in Fort Road and is at present in the occupation of the County Council.",0,,,,
"There was no isolation hospital on board, and to this may be attributed the failure to check the infection at the first case.",0,,,,
"The first case to appear in Deptford was on October 29th, 1901, in a common lodging-house, in which there were no less than 213 lodgers.",0,,,,
"Given under the Seal of Office of the Local Government Board, this Twenty-eighth day of August, in the year One thousand eight hundred and ninety.",0,,,,
"April 2 Clan Macintosh "" Calcutta "" „ 9 Chusan "" "" Small-pox.",0,,,Not a sentence,
"Four which had become unsound and unfit for the purpose have been condemned, and either broken up, or sold for other purposes, while two have been allowed to continue in use for filling boilers only, and have been labelled to this effect.",0,,,,
The Medical Officers of Health were communicated with in whose district any person residing or working outside this borough who had in any way been in contact with a case of Small-Pox.,0,,,,
"On the 20th, the Poplar Board of Works reported that a case of enteric fever, which had been removed from that district, was traceable to the s.s. "" Roslin Castle."" On inquiry, it was found that the patient left Cape Town in the vessel on 28th May, and left in London on 9th April, then apparently in good health.",0,,,,
The practitioners of the Borough make full use of the Dispensary service and thanks are due to them for their courtesy in sending case notes with the patients.,0,,,,
"One side is reserved for receiving articles about to undergo disinfection, the other for removing them from the apparatus after the process is completed.",0,,,,
Staff.—The staff consisted of the Medical Officer of Health.,0,,,,
"So far we have been very successful in this part of the work, especially as we have not aimed too high.",0,,,,
Innumerable difficulties have to be overcome.,0,,,,
Lessons in elementary hygiene would be imparted at the same time.,0,,,,
"With very few exceptions all disinfection is carried out by the staff of the Council, and no charge is ever made.",0,,,,
1 Population estimated to Middle of each Year.,0,,,,
His Majesty's Inspector is also required to furnish a list of the premises on his register to the Local Authority at the commencement of the Act.,0,,,,
"As regards the holidays, some arrangement could be made whereby it would not be necessary to have an outside locum tenens for during the two months' summer holiday period some of the sessions might very well be suspended, as many of the mothers and children go away for holidays or are engaged hopping.",0,,,,
"As an instance of this a boat has been recently inspected which, while registered for 17 persons, provided proper accommodation for four or five only.",0,,,,
"Dr. A. C. D. Firth, Physician to the Victoria Hospital for Children, is the consulting physician.",0,,,,
"This has previously been found an almost insuperable difficulty, as only a few cases obtain suitable work in the open air which will prevent them relapsing.",0,,,,
"Outwork in Unwholesome Pemises, Section 108.",weak,implied,"unwholesome, premises",,
"24 Goorkha Steam Calcutta Erysipelas. „ 29 Donati "" Lisbon Small-pox.",0,,,Not a sentence,
There are now no slaughter-houses in the Borough.,weak,implied,no slaughter-houses,,
9 Net Deaths at all Ages belonging to the District.,0,,,,
"(6) No place on the same level with a bakehouse, and forming part of the same building, shall be used as a sleeping place, unless it is constructed as follows, that is to say— (a) is effectually separated from the bakehouse by a partition extending from the floor to the ceiling; and ( b) has an external glazed window of at least nine superficial feet in area, of which, at the least, fourand-a-half superficial feet are made to open for ventilation: and unless such sleeping room (if separately occupied) comply with the requirements as to cellar dwellings or underground rooms (so occupied), laid down in the Public Health Acts.",0,,,,
"Sandwich men might on occasion be employed. (b) Advertisements in weekly newspapers advertising public lectures, open-air demonstrations, hours of attendance at the various clinics under the control of the Borough Council and the Office of Information.",0,,,,
"Lighting, heating, cleansing, &c. Total No. of Alterations.",0,,,,
"He was attacked on 6th, and the disease being diagnosed on 7th, was at once removed to the Port Sanitary Hospital in an ambulance boat specially constructed for the purpose.",0,,,,
"13 No. 12 No. 5 Rate per 1,000 Births registered.",0,,,,
"D As the Maternity and Child Welfare Work tends to increase, not only numerically but in importance, the time is now ripe for the Committee to consider the advisability of appointing a second Medical Officer.",0,,,,
"From the time of appointment until the end of the year, 1920, the Home-Help attended 3 cases.",0,,,,
"(14) Prosecutions (Sections 109, 110).",0,,,,
"Housing, Town Planning, etc., Act, 1919, Section 28.",0,,,,
In May a student at Whiteland's College was notified.,0,,,,
(9) Failing to send lists.,0,,,,
"As nearly all these vessels are in the hands of small owners, who do not realize the extreme importance of having a drinking water above suspicion, this department of our work is of a most trying and harassing description.",0,,,,
"This is a small village above the Rhone Valley, and not far from the Lake of Geneva.",0,,,,
"21 / But as the report in question states, and as your Medical Officer has always . pointed out, the trouble is not due so much to the sewage recently discharged as to that which has been discharged for some time.",weak,implied,"sewage, discharged",,
"The Council further decided to establish a solarium in Bermondsey for ambulent cases, cases returning from sanatoria and also as a preventive in children and others who were delicate and looked as though they might soon become tuberculous.",0,,,,
"Subsequently the Council decided to send an experimental party of three children and three adults to Leysin, and also to make an attempt to provide a certain amount of Sun Treatment in Bermondsey as a prophylactic measure in cases of delicate children and adults and those who had returned from sanatoria.",0,,,,
"District No. 2. — Inspector SHELLEY. District No. 3.— Inspector DANSON. District No. 4. — Inspector SNOWDON. District No. 5. — Inspector OWNER. COMMON LODGING-HOUSE ACTS, 1851 AND 1853.",0,,,Not a sentence,
"The whole question of the disposal of the sewage of the Metropolis has been referred to eminent engineers, with instructions to report fully as to the best method and its approximate cost.",weak,implied,"disposal, sewage",,
"The Borough Council Dwellings are Sir Thomas More Buildings, Pond House, Onslow Dwellings, and Grove Buildings, with a total population of 1,467.",0,,,,
Wilson Fitzgerald is the V.A.D. Commandant.,0,,,,
"On the 29th November a suspicious case was taken to Hospital, as it was believed to be diphtheria.",0,,,,
"We could now do with more Sessions ; for instance, an extra one at 110, Grange Road, 98, Rotherhithe New Road, and Manor Chapel, Roseberry Street, and also two extra Toddlers' Clinics per month at 98, Rotherhithe New Road, and two extra Ante-natal Clinics, one at 98, Rotherhithe New Road and one at 110, Grange Road, which would bring the total number of Sessions up to 14 per week.",0,,,,
"Of course, an occasional case of Tuberculosis of the lungs will occur among surgical cases and these have benefited, but the improvement which can be shown and demonstrated is not quite so quick or dramatic as in the latter.",0,,,,
Another difficulty which we were told was insuperable was the sudden interchange between the cinema and the lantern.,0,,,,
THE HOSPITAL. The Port Hospital has been of great value in the isolation of infectious disease.,0,,,,
Population estimated to middle of each year.,0,,,,
"This nuisance undoubtedly exists, and in hot weather must be distinctly a source of danger.",weak,implied,"nuisance, hot weaher",,
"This is 177 more than in 1923, and 306 less than the average for the last 10 years.",0,,,,
"The death rate for the Borough in 1924 was 13·6 per thousand living inhabitants, being 1·5 above that recorded in 1923, and 3·0 below the average for the last 10 years.",0,,,,
Estimated Population in the middle of 1902.,0,,,,
In this way a thorough and reliable record could easily be kept and referred to.,0,,,,
He was taken to the Port Sanitary Hospital and vessel fumigated.,weak,implied,fumigated,,
"The Ministry of Health and the County Council have requested this Council to submit a scheme for the treatment of tuberculosis for the financial year commencing 1st April, 1925.",0,,,,
"On these 557 boats, registered in the aggregate for 1,667 persons, only 1,284 were actually living.",0,,,,
"The barge was then fumigated, and certificate thereof handed to the master.",weak,implied,fumigated,,
28 Orient Steam Sydney Enteric Fever.,0,,,,
It is hoped that the example set by these mothers will stimulate many more to enter for these competitions in the ensuing year.,0,,,,
My attention was first directed to the value of education in hygiene when I was asked to give a report on this matter to the Guy's Hospital Medical School when they were re-organising the teaching of various medical subjects after the war.,0,,,,
The staff of the Hospital would remain the same.,0,,,,
"55 55 55 "" "" Measles. „ 16 Hawarden Castle "" Cape Town Enteric Fever. „ 19 Elizabeth - Canal Boat - Birmingham Diphtheria.",0,,,Not a sentence,
"These also should be illustrated, if possible, and the matter simple and straightforward.",0,,,,
"202) (k) With respect to deposit of plans as to drainage, etc.",weak,implied,drainage,Not a sentence,
"DIPHTHERIA AND MEMBRANOUS CROUP. There were 257 cases notified during the year, as compared with 414 for the previous year, and the number of deaths recorded was 18, whilst the number of deaths for the previous year amounted to 34.",0,,,,
"In consequence of the low temperature, and almost continuous rain, the horrible condition of affairs has gradually improved, and now during the first week of July the water is fairly good.",0,,,,
Mr. J G. F. Toll.,0,,,Not a sentence,
No. Registered by the Port of London Sanitary Authority.,0,,,,
"Of the 48 specimens, 19 per cent. were positive for tubercle bacilli, and 81 per cent, were negative, practically the same proportions as in 1919.",0,,,,
As some small evidence of the value of the educational work it is of interest to record that of a total of 304 deaths occurring under 5 years during 1924 only 26 were attributed to diarrhœa and sickness.,0,,,,
"The nursing staff consists of a 7 sister-in-charge, two staff nurses, four resident V.A.D. probationers, and daily V.A.D. assistants.",0,,,,
"So struck were we with the treatment, that we thought it would be well for the Council to send out an experimental party of half-adozen, so that we would have an opportunity of demonstrating to the Council the beneficial results of residence in Leysin.",0,,,,
Disinfecting fluid is supplied gratis were required by the staff.,weak,implied,disinfecting,,
"On the 28th August a French sailor, who arrived in steam ship ""Gaudiana"" on 18th, was found to have small-pox, and was taken to the Asylums Board Hospital, and the vessel fumigated.",weak,implied,fumigated,,
"I would, therefore, commend this question to your consideration.",0,,,,
"Total to June 30th, 1890 - 662 From June 30th to December 31st, 1890 - 9 Total since commencement - 671 F 30 APPENDIX D. Vessels Fumigated, from June 30th to December 3lst, 1890.",weak,implied,fumigated,not a sentence,
"The dates on which other visits have been made for purposes of inspection are: July 8th and 23rd, August 28th, September 24th, October 20th, November 10th, and December 23rd.",0,,,,
"The birth rate is unusually low for Bermondsey, but the same may be said of the death rate, and subtracting the latter from the former, leaves us with a net increase of population of 10·2.",0,,,,
(3) Every cistern for supplying water to the bakehouse shall be separate and distinct from any cistern for supplying water to a water-closet.,0,,,,
Neither could any of the firms provide us with suitable lamps or lenses for a portable street kinematograph.,0,,,,
During the hot weather all the courts and alleys were kept constantly flushed with disinfectants by the Surveyor's staff.,strong,implied,"disinfectants, hot weather",,
A number of open-air demonstrations have already been held in various parts of the Borough.,0,,,,
More and more are the mothers recognising that the Centres exist to give advice on how to keep well.,0,,,,
"The Town Hall Centre was removed to Grange Road, with great benefit to the mothers and the workers, and the Committee decided to adopt a new scheme, which, however, did not become effective until 1925.",0,,,,
The cabin was fumigated in dock.,weak,implied,fumigated,,
"Were space not a consideration, I could go through dozens of common diseases like coughs, "" colds,"" etc., which can be largely reduced, if not eliminated, by intelligent instruction as to their causes and prevention.",0,,,,
So far we have dealt only with the initial expense.,0,,,,
"In London there were 5,338 deaths from pneumonia in 1920, as against 4,597 in 1919, and 7,485 in 1918.",0,,,,
"1. In these Regulations the expression "" The Port Sanitary Authority "" means the Mayor, Aldermen, and Commons of the City of London, acting as the Port Sanitary Authority of the Port of London ; the expression "" Dangerous infectious disorder"" means any one of the following diseases : — Diphtheria, Erysipelas, Measles, Scarlatina, Small-Pox, Typhoid or Enteric Fever, Typhus Fever.",0,,,,
"BACTERIOLOGICAL EXAMINATIONS. The Council renewed the arrangement made last year with the Clinical Research Association to make Bacteriological Examinations and Reports upon the specimens of blood for Enteric Fever and membrane for Diphtheria, for a further period of 12 months, expiring on the 12th November, 1903.",0,,,,
It is not necessary for me to go over this ground again.,0,,,,
"On the 7th, one of them was attacked with measles.",0,,,,
NUMBER OF CASES NOTIFIED. Bermondsey.,0,,,,
"He makes a point of seeing all as often as necessary, and his visits vary from once a day to each patient to a minimum of about once a month, according to how the patient is progressing. artificially, and several methods are at present in operation, but it seems quite clear that a great deal can be done by "" artificial sunlight,"" combined with open air, and as it is impossible for every patient to go to an Alpine health resort, it is anticipated that a great deal can be done for them in this country, not only by sunlight, but also by the exposure of the patients to artificial sunlight produced by electricity.",weak,implied,open air,,
TRAINING SHIPS. The general condition of the training ships has been good.,0,,,,
Official No. Owners or Brokers.,0,,,,
"Very frequently we do not know who the visitors of the Care Committee are, with the result that both visitors often go to see the same patient's home on the same day.",0,,,,
"During the months of August and September the whole of the closets and dust-bins in the various docks received, as usual, special attention.",weak,implied,"closets, dust-bins",,
"Seventeen nursing mothers, with their infants, were sent away to convalescent homes in the course of the year.",0,,,,
"All control of bakehouses was then given to the Inspector of Factories, instead of Local Sanitary Authorities as formerly.",0,,,,
It was also decided to combine this with a certain amount of artificial sun treatment by means of arc lamps.,0,,,,
"2 cases of enteric fever were notified, both being in Rotherhithe.",0,,,,
From this patient the infection had been derived.,0,,,,
11.—No person shall leave any such ship until the examination herein-after mentioned shall have been made.,0,,,,
"9. Ventilation shall be adequate, that is to say, fresh clean air shall be supplied constantly during working hours, so as to provide not less than 3,000 cubic feet of air, per hour, for each person employed, with any additional amount required for purposes of combustion, in such a manner as to avoid the occurrence of draught, and so that the air is sufficiently renewed in all parts of the underground bakehouse; and by the aid of mechanical power, where, in the opinion of the Medical Officer of Health, such is necessary.",weak,implied,fresh clean air,,
(6) The Establishment of a Central Office of Information.,0,,,,
"While negotiations are going on, the cases from these two vessels are being received at Gravesend.",0,,,,
There were 126 premises where ice cream is manufactured on the Register at the end of 1923.,0,,,,
"Eleven school children were reported by school-nurses to be in a verminous condition, and 12 visits to homes were paid in connection with these cases.",strong,implied,verminous,,
J. Siieppard Scott. cornelcus barham.,0,,,Not a sentence,
"His colour and foot are both improved, and he has increased five pounds in weight.",0,,,,
"By adopting this method, both as regards the keepers of general shops and milkmen, the habitual culprits are often caught, whereas many of the ordinary prosecutions are against persons who cannot be classed among habitual offenders, but who innocently sell articles which have been supplied to them by others in an adulterated form.",0,,,,
"The following requirements are necessary : — (a) A suitable wooden fence round the land which would exclude intruders, and also shelter the patients from public gaze.",0,,,,
Under this heading should be included : (a) Posters for displaying on Council's sites and on Council's buildings and vehicles.,0,,,,
"Milk and Dairies (Amendment) Act, 1922.",0,,,,
"Section 101 deals with the question of Underground Bake- houses, and provides ""That an underground bakehouse shall not be used as a bakehouse unless it was so used at the passing of the Act."" Also ""That after the 1st January, 1904, an underground bake- house shall not be used as a bakehouse unless certified by the District Council to be suitable for that purpose."" The whole of the bakehouses in the borough have been periodically visited and the necessary works and cleansing carried out from time to time.",0,,,,
"85,927 Cayzer, Irvine and Co. Tilbury Erysipelas Calcutta Drowned at sea 03 05 APPENDIX G.—continued.",0,,,,
"Of the 90 specimens 32, or 36 per cent., afforded positive evidence of the diphtheria bacillus, and 58, or 64 per cent., were negative, the corresponding figures for 1919 being 21 per cent, and 79 per cent.",0,,,,
"21,'88 Low Fever - St. Katharine's Dock House. „ 23 Iberia Sydney Mar.25,'89 (Unknown Tilbury Dock.",0,,,Not a sentence,
"She looks better, feels much stronger and steadily increases in weight.",0,,,,
Twenty-two new cases of non-pulmonary tuberculosis were notified in 1920.,0,,,,
"ANNUAL REPORT of Inspector Turner, carrying out duties in connection with Factories and Workshops, Dairies, Cowsheds, and Milkshops; Bakehouses, Slaughterhouses, Offensive and Ice Cream Businesses, and Canal Boats; Samples under Food and Drugs Acts, and Margarine Act, and results of Prosecutions.",weak,implied,"offensive, cowsheds",,
It will therefore be practically impossible for all egress from the house to be blocked in the event of fire.,0,,,,
"SANITARY. REPORT, POET OF LONDON SANITARY COMMITTEE, WITH THE HALF-YEARLY REPORT ok the MEDICAL OFFICER OF HEALTH FOR THE PORT OF LONDON, To 31st December, 1890.",0,,,,
Six cases of over-crowding were met with.,weak,implied,over-crowding,,
Asylums Hospital „ 21 Clan Macintosh Str.,0,,,Not a sentence,
"The lower death-rate in 1920, as compared with 1919 and 1918, is due to a much lessened mortality from influenza, the deaths in 1920 from this disease being only 10, as against 104 in 1919, and 284 in 1918.",0,,,,
"It is proposed that these lamps should be made movable, so that the treatment could be carried out in the open air when weather permitted.",weak,implied,open air,,
"Outwork in Infected Premises, Sections 109, 110.",0,,,,
"During 1920, 5 notifications were received from midwives under the Midwives Acts, 1902 and 1918, of the substitution of artificial feeding for breast feeding for various reasons.",0,,,,
One's experience teaches that patients object to having diseased teeth removed if there is no prospect of dentures being subsequently fitted.,0,,,,
"85,020 Gellatly, Hankey, Sewell & Co. Gravesend and Deptford Small pox Buenos Ayres Ditto Oct.",0,,,,
"THE STAFF. The only change in the constitution of your Inspectorial Staff is that caused by the resignation of Inspector Lewis, who has served your Worshipful Committee for a period of seventeen years, and who, during the last ten years, to my personal knowledge, has worked faithfully and to the best of his ability.",0,,,,
Dr. Howard Tuesday afternoon—from November.,0,,,,
"I would like to mention, in this connection, that the whole of the success is due to the enthusiasm of Dr. D. M. Connan, the Propaganda Officer, and he has manged to infuse this into the other members of the staff.",0,,,,
10 Deaths of Residents registered in Public Institutions beyond the District.,0,,,,
PUERPERAL FEVER. Three cases were notified and two deaths were registered.,0,,,,
"Statistics for the Year, 1924.",0,,,,
(10) Acting as Tuberculosis consultant to Bermondsey and Rotherhithe Hospital.,0,,,,
THE RIVER AND SEWAGE. The condition of the river water during the early summer has naturally greatly exercised the mind of your Medical Officer.,weak,implied,"river, water, sewage",,
"(Metropolis Management Acts Amendment (Byelaws) Act, 1899) Mortuary— Total number of infectious bodies removed 5 Total number of bodies removed 76 Table G. —Work of District Inspectors, 1924.",0,,,,
"He was immediately removed to the ship's isolation hospital on shore, and every precaution taken to prevent the spread of infection. c 10 On the 25t,h March, a second case occurred, and was treated in the same way, the result being that no others were affected.",0,,,,
"11 SCARLET FEYER. On the 27th April, a seaman with the above disease was removed to the Port Sanitary Hospital from the s.s. "" Juan."" The vessel left Batoum on 2nd April, and the patient was taken ill on the 17th.",0,,,,
"Summer "" Outing."" The Health Visitors organised a day at Southend for those mothers who had been thrifty enough to save their pence for this purpose during the year.",0,,,,
"East India Dock Enteric Fever Johannesburg Port Sanitary Hospital „ 19 Elizabeth Canal Boat Fellows, Morton & Clayton Silvertown Diphtheria (?) Met.",0,,,,
I death was due to this cause.,0,,,,
The attendance was small at first but gradually increased and at the time of writing the necessity for a second clinic has been fully demonstrated.,0,,,,
"It was found that to use "" Certified "" milk would be too expensive, but an excellent substitute was found in Grade ""A"" (Tuberculin Tested) Milk, which only worked out at Id. per pint dearer than ordinary milk.",0,,,,
"In June a second Centre for Expectant Mothers was started at 110 Grange Road, and held fortnightly, alternately with the one already in existence at 98 Rotherhithe New Road.",0,,,,
"13 - Tainui 90,001 Albert Dock - New Zealand - 2 carcases, 3 pieces, and 5 legs mutton, .1 piece beef.",0,,,,
"On the 29th September the steam ship ""Ocampo,"" on arrival from Buenos Ayres, reported a patient with small-pox.",0,,,,
"I think the method adopted by Dr. Connan in this case, of question and answer, proved most effective.",0,,,,
"ENTERIC FEVER OR TYPHOID FEVER. The number of cases notified during the year was 73, and the deaths were 11; for the previous year the number notified was 60, and the deaths 10.",0,,,,
Only one case of this disease was notified in Chelsea in 1920.,0,,,,
(2) Keeping administrative and clinical records of all cases and suspected cases of Tuberculosis in the Borough.,0,,,,
"SCARLET FEVER. Of this disease 638 certificates of notification were received, as against 550 for the previous year; the number of deaths registered was 18.",0,,,,
"The following were brought to the notice of the Department, found to be unfit for human food, and destroyed as trade refuse :— Tons. cwts. qrs. lbs.",weak,implied,refuse,,
"I beg to report for the information of the Committee that we have adopted the following standard, the compliance with which entitles the distributor to a licence to bottle and sell Grade ""A"" (Tuberculin Tested) Milk or Grade "" A "" Milk in this Borough.",0,,,,
7. The finding of suitable employment.,0,,,,
"(2) No water-closet, earth-closet, privy or ash-pit shall be within, or communicate directly with, the bakehouse.",0,,,,
"These should be short and of fairly large print, illustrated and of single page, so as to render it easy for the reader to see at a glance the information which is meant to be conveyed by the pamphlet.",0,,,,
The Sun Cure for Tuberculosis is known under the medical term of Heliotherapy.,0,,,,
"It is these cases which very often after a year or two present definite symptoms of Tuberculosis, and if they could be got hold of for treatment, if it was only once or twice a week for a few hours, they might be prevented from getting the disease.",0,,,,
"Seventy-eight cases of scabies were reported during the year, and 85 visits to homes were paid in connection with these cases.",0,,,,
"CHOLERA. In view of the extensive spread of cholera in Spain and Mesopotamia, the Local Government issued new cholera Regulations, bearing date 28th August.",0,,,,
This enables their very large numbers to be dealt with more satisfactorily.,0,,,,
"The principal lecturer has been Dr. D. M. Connan, but lectures were also given by Mr. Grantley Smith on Dental Work and Dr. Kynaston on Flies.",0,,,,
Date and Cause of Death.,0,,,,
He was notified in that month.,0,,,,
"All were emptied, cleansed, and whitewashed, many were removed from unsuitable places, and some were reconstructed on new lines, suggested by your Officers.",weak,implied,whitewashed,,
"(3) That steps be taken to secure the All Saints' burial ground in Lower Road, for the clearing of the ground, fencing, erection of building, and necessary equipment, so as to fit it up for treatment as a Solarium.",0,,,,
